ticker,earnings_date,eps_estimate,eps_reported,surprise
1332.T,2007-11-13,1.69,2.19,29.59
1332.T,2008-02-05,9.26,6.12,-33.91
1332.T,2008-05-16,23.73,23.0,-3.06
1332.T,2008-11-12,3.9,-6.28,-261.03
1332.T,2010-05-15,-4.7,-7.79,-65.74
1332.T,2012-05-15,-3.65,-7.97,-118.36
1332.T,2013-05-15,-29.85,-24.69,17.29
1332.T,2013-11-05,-2.51,1.78,170.92
1332.T,2014-11-05,7.26,12.32,69.7
1332.T,2016-02-05,14.85,16.07,8.22
1332.T,2016-05-13,6.88,3.88,-43.6
1332.T,2017-08-04,10.92,16.25,48.81
1332.T,2017-11-02,22.28,13.44,-39.68
1332.T,2018-02-05,12.85,23.05,79.38
1332.T,2018-05-14,11.47,2.91,-74.63
1332.T,2018-08-03,13.72,16.81,22.52
1332.T,2018-11-05,11.44,13.03,13.9
1332.T,2019-02-05,26.6,26.84,0.9
1332.T,2019-05-14,8.77,0.35,-96.01
1332.T,2019-08-05,15.91,11.63,-26.9
1332.T,2019-11-05,14.62,13.53,-7.46
1332.T,2020-02-05,24.01,22.38,-6.79
1332.T,2020-05-20,7.74,-0.07,-100.9
1332.T,2020-08-03,9.0,10.25,13.89
1332.T,2020-11-05,8.55,5.93,-30.64
1332.T,2021-02-05,14.35,26.17,82.37
1332.T,2021-08-04,10.93,16.67,52.52
1332.T,2021-11-05,9.36,19.99,113.57
1332.T,2022-02-04,23.14,16.69,-27.87
1332.T,2022-11-02,10.66,24.15,126.55
1332.T,2023-02-03,23.29,21.98,-5.62
1332.T,2023-05-12,5.82,8.49,45.88
1332.T,2024-02-06,9.15,27.67,202.4
1332.T,2024-05-14,11.28,11.45,1.51
1332.T,2024-08-06,21.56,17.02,-21.06
1332.T,2024-11-06,20.3,16.76,-17.44
1332.T,2025-02-07,28.79,29.21,1.46
1332.T,2025-05-14,21.94,18.67,-14.9
1332.T,2025-08-05,16.38,20.94,27.84
1332.T,2025-11-06,18.63,25.62,37.52
1332.T,2026-02-06,21.84,26.52,21.43
1332.T,2026-05-14,17.04,17.09,0.29
1332.T,2026-08-06,22.42,24.53,9.41
1332.T,2026-11-06,18.63,,
1333.T,2026-11-09,,,
1377.T,2012-10-12,24.92,23.44,-5.94
1377.T,2013-01-15,0.33,9.87,2872.89
1377.T,2013-04-11,16.33,22.97,40.66
1377.T,2013-10-10,29.58,18.93,-36.01
1377.T,2014-04-11,0.43,14.58,3282.83
1377.T,2014-07-11,6.13,9.43,53.76
1377.T,2014-10-10,25.69,44.49,73.15
1377.T,2015-01-14,9.84,21.64,119.83
1377.T,2015-04-13,16.02,22.21,38.6
1377.T,2015-10-09,36.75,55.77,51.75
1377.T,2016-04-08,18.44,29.8,61.64
1377.T,2017-04-07,28.46,34.96,22.84
1377.T,2017-07-13,8.6,4.89,-43.14
1377.T,2018-01-12,31.26,12.12,-61.23
1377.T,2018-04-06,47.62,36.48,-23.39
1377.T,2018-07-11,10.49,14.85,41.56
1377.T,2019-01-11,10.13,29.27,188.94
1377.T,2019-04-04,46.67,36.22,-22.39
1377.T,2019-07-10,22.21,37.33,68.08
1377.T,2019-10-04,53.33,53.99,1.24
1377.T,2020-01-09,19.34,15.47,-20.01
1377.T,2020-04-03,44.44,37.12,-16.47
1377.T,2020-10-09,53.99,69.38,28.51
1377.T,2026-07-13,,,
1377.T,2026-10-06,,,
1414.T,2014-08-11,2.04,2.72,33.53
1414.T,2014-11-10,2.79,3.55,27.22
1414.T,2015-02-10,7.61,9.23,21.34
1414.T,2015-05-11,10.37,12.08,16.5
1414.T,2015-08-10,2.41,2.66,10.32
1414.T,2015-11-10,3.82,5.13,34.45
1414.T,2016-02-10,9.69,9.79,0.99
1414.T,2016-05-10,11.26,11.82,4.95
1414.T,2016-08-09,3.11,2.37,-23.82
1414.T,2016-11-10,5.36,5.36,0.01
1414.T,2017-02-10,10.14,10.8,6.52
1414.T,2017-05-10,12.88,11.73,-8.93
1414.T,2017-08-09,2.53,4.6,82.15
1414.T,2017-11-10,5.73,6.51,13.63
1414.T,2018-02-09,11.21,10.24,-8.62
1414.T,2018-05-10,14.32,12.29,-14.13
1414.T,2018-08-10,5.8,4.87,-16.16
1414.T,2018-11-09,7.89,6.89,-12.73
1414.T,2019-02-08,10.22,11.08,8.42
1414.T,2019-05-13,13.96,13.48,-3.41
1414.T,2019-08-09,7.05,6.08,-13.77
1414.T,2019-11-08,6.88,6.32,-8.11
1414.T,2020-02-10,11.55,12.43,7.59
1414.T,2020-05-11,14.61,14.13,-3.29
1414.T,2020-08-11,8.54,8.95,4.78
1414.T,2020-11-10,6.97,9.54,36.94
1414.T,2021-02-10,10.17,15.88,56.19
1414.T,2021-05-10,13.17,17.04,29.39
1414.T,2021-08-10,5.95,10.21,71.61
1414.T,2021-11-10,7.48,12.61,68.48
1414.T,2022-02-10,15.22,15.64,2.75
1414.T,2022-05-10,16.12,17.45,8.23
1414.T,2022-08-10,11.71,12.08,3.12
1414.T,2022-11-10,12.75,11.99,-5.94
1414.T,2023-02-10,15.39,15.05,-2.2
1414.T,2023-05-10,16.91,19.58,15.83
1414.T,2023-08-10,14.06,14.26,1.42
1414.T,2023-11-10,13.3,16.55,24.48
1414.T,2024-02-09,15.64,17.95,14.79
1414.T,2024-05-10,16.92,19.58,15.68
1414.T,2024-08-09,16.77,14.35,-14.42
1414.T,2024-11-11,13.02,16.18,24.3
1414.T,2025-02-10,18.94,20.47,8.08
1414.T,2025-05-09,18.95,19.84,4.69
1414.T,2025-08-12,13.33,16.52,23.92
1414.T,2025-11-10,16.65,16.57,-0.51
1414.T,2026-02-10,19.32,19.15,-0.91
1414.T,2026-05-11,20.54,22.56,9.85
1414.T,2026-08-10,19.96,17.81,-10.77
1414.T,2026-11-09,15.73,,
1417.T,2026-11-12,,,
1515.T,2011-02-04,6.32,7.04,11.39
1515.T,2011-05-10,3.8,2.61,-31.28
1515.T,2011-08-04,5.56,11.57,108.21
1515.T,2011-11-04,4.97,8.79,76.72
1515.T,2012-02-03,1.06,14.69,1288.47
1515.T,2012-05-08,3.76,1.27,-66.18
1515.T,2012-08-03,5.63,15.44,174.1
1515.T,2012-11-05,6.17,10.98,78.1
1515.T,2013-02-05,5.52,17.59,218.77
1515.T,2013-05-08,10.39,2.52,-75.74
1515.T,2013-08-02,9.18,22.56,145.83
1515.T,2013-11-05,16.12,14.23,-11.71
1515.T,2014-02-04,15.99,3.19,-80.05
1515.T,2014-05-08,7.4,6.91,-6.6
1515.T,2014-08-04,13.95,11.1,-20.42
1515.T,2014-11-04,15.46,12.02,-22.23
1515.T,2015-02-04,12.87,21.88,70.06
1515.T,2015-05-08,17.11,26.75,56.3
1515.T,2015-08-04,22.7,24.59,8.31
1515.T,2016-02-04,25.11,18.26,-27.28
1515.T,2016-08-04,23.84,35.81,50.24
1515.T,2017-02-03,24.55,64.17,161.45
1515.T,2026-11-05,,,
1605.T,2007-11-09,47.61,45.08,-5.31
1605.T,2008-05-14,51.0,59.42,16.52
1605.T,2008-08-08,66.22,52.81,-20.25
1605.T,2008-11-11,61.46,57.58,-6.32
1605.T,2009-02-12,19.39,39.13,101.83
1605.T,2009-05-13,9.73,4.49,-53.9
1605.T,2009-08-05,23.81,27.61,15.97
1605.T,2009-11-04,20.5,23.0,12.21
1605.T,2010-02-05,29.14,35.1,20.47
1605.T,2010-05-13,15.89,28.17,77.29
1605.T,2010-08-09,32.08,34.0,5.98
1605.T,2010-11-04,21.31,12.46,-41.51
1605.T,2011-02-04,21.42,28.58,33.43
1605.T,2011-05-11,25.05,27.05,7.97
1605.T,2011-08-03,26.48,27.51,3.89
1605.T,2011-11-05,27.36,23.43,-14.37
1605.T,2012-02-03,44.37,28.39,-36.01
1605.T,2012-05-10,47.43,53.51,12.83
1605.T,2012-08-03,33.66,47.9,42.29
1605.T,2012-11-06,25.84,28.37,9.79
1605.T,2013-02-06,27.84,17.75,-36.25
1605.T,2013-05-10,38.14,31.27,-18.02
1605.T,2013-08-02,25.34,20.54,-18.95
1605.T,2013-11-07,26.02,34.3,31.84
1605.T,2014-02-07,28.08,18.48,-34.19
1605.T,2014-05-09,38.3,52.46,36.97
1605.T,2015-02-06,0.08,8.93,11062.5
1605.T,2015-05-14,11.59,-16.41,-241.59
1605.T,2015-11-10,10.87,14.74,35.6
1605.T,2016-02-04,10.21,15.04,47.31
1605.T,2016-05-12,14.56,-34.7,-338.32
1605.T,2016-11-11,2.73,5.38,97.07
1605.T,2017-02-10,4.28,22.05,415.19
1605.T,2017-05-12,2.9,-1.21,-141.72
1605.T,2017-08-04,8.83,13.71,55.27
1605.T,2017-11-08,8.48,6.94,-18.16
1605.T,2018-02-08,9.27,15.92,71.74
1605.T,2018-05-10,7.14,-8.93,-225.07
1605.T,2019-05-05,10.4,11.51,10.67
1605.T,2019-08-08,28.1,20.34,-27.62
1605.T,2019-11-06,15.64,27.0,72.69
1605.T,2020-02-12,21.0,37.02,76.29
1605.T,2020-05-12,15.7,22.99,46.43
1605.T,2020-08-06,0.2,-105.72,-52960.0
1605.T,2020-11-06,-7.6,-3.17,58.29
1605.T,2021-02-10,5.3,9.4,77.36
1605.T,2021-05-13,15.1,26.15,73.18
1605.T,2021-08-10,12.2,9.45,-22.54
1605.T,2021-11-05,45.4,58.72,29.34
1605.T,2022-02-09,36.8,59.55,61.82
1605.T,2022-05-11,76.8,67.86,-11.64
1605.T,2022-08-08,93.2,65.2,-30.04
1605.T,2022-11-08,57.3,60.6,5.76
1605.T,2023-02-09,112.8,127.03,12.62
1605.T,2023-05-10,80.8,115.98,43.54
1605.T,2023-08-09,49.6,78.7,58.67
1605.T,2023-11-09,48.6,20.47,-57.88
1605.T,2024-02-13,62.08,71.9,15.82
1605.T,2024-05-14,93.98,96.82,3.02
1605.T,2024-08-08,79.02,72.44,-8.33
1605.T,2024-11-12,38.85,62.65,61.26
1605.T,2025-02-13,66.9,113.4,69.51
1605.T,2025-05-13,76.75,105.46,37.41
1605.T,2025-08-08,73.1,81.19,11.07
1605.T,2025-11-13,67.3,58.72,-12.75
1605.T,2026-02-12,92.1,85.45,-7.22
1605.T,2026-05-13,91.6,94.08,2.71
1605.T,2026-08-07,125.05,132.25,5.76
1605.T,2026-11-12,93.5,,
1662.T,2010-08-06,1.4,13.05,832.43
1662.T,2010-11-05,-4.9,-6.42,-30.98
1662.T,2011-02-09,9.1,12.79,40.62
1662.T,2011-05-13,14.7,15.6,6.15
1662.T,2011-08-05,10.85,15.47,42.64
1662.T,2011-11-04,7.0,6.69,-4.43
1662.T,2012-02-10,10.47,-0.24,-102.29
1662.T,2012-05-11,27.52,37.66,36.83
1662.T,2012-08-03,13.56,12.15,-10.39
1662.T,2012-11-02,8.19,-97.65,-1291.73
1662.T,2013-02-08,16.12,22.22,37.81
1662.T,2013-08-07,15.29,20.53,34.32
1662.T,2014-02-07,15.81,7.97,-49.56
1662.T,2016-02-05,6.64,-5.58,-184.07
1662.T,2017-02-08,-0.7,10.9,1657.71
1662.T,2019-02-12,12.68,31.38,147.51
1662.T,2020-02-10,7.26,15.7,116.23
1662.T,2020-11-10,-7.34,8.96,222.02
1662.T,2021-02-08,-1.06,11.19,1155.85
1662.T,2022-02-09,167.06,121.03,-27.55
1662.T,2022-05-13,162.3,189.21,16.58
1662.T,2022-08-09,29.22,56.73,94.15
1662.T,2022-11-10,38.8,58.05,49.6
1662.T,2023-02-10,36.72,43.82,19.34
1662.T,2023-05-12,66.44,88.73,33.55
1662.T,2023-08-09,23.78,47.95,101.62
1662.T,2023-11-10,28.2,54.47,93.16
1662.T,2024-02-09,16.96,32.37,90.85
1662.T,2024-05-14,60.7,64.1,5.6
1662.T,2024-08-08,33.6,43.89,30.62
1662.T,2024-11-13,65.8,187.86,185.5
1662.T,2025-02-12,24.3,206.68,750.53
1662.T,2025-05-13,60.1,26.77,-55.46
1662.T,2025-08-07,32.3,61.41,90.12
1662.T,2025-11-12,33.3,44.31,33.06
1662.T,2026-02-12,26.5,49.71,87.58
1662.T,2026-05-13,36.8,53.31,44.86
1662.T,2026-08-06,32.7,12.66,-61.28
1662.T,2026-11-11,52.6,,
1719.T,2011-02-14,1.57,0.82,-47.67
1719.T,2011-05-13,1.06,7.2,576.69
1719.T,2011-08-05,,1.0,49900.0
1719.T,2011-11-10,5.69,8.4,47.52
1719.T,2012-02-10,2.07,-3.07,-248.6
1719.T,2012-05-11,10.55,9.05,-14.23
1719.T,2012-08-10,0.4,-0.05,-112.66
1719.T,2012-11-09,7.26,13.07,79.93
1719.T,2013-02-08,-0.35,6.0,1829.11
1719.T,2013-05-15,3.65,1.67,-54.18
1719.T,2013-08-09,-3.56,70.48,2079.78
1719.T,2013-11-14,7.3,7.69,5.37
1719.T,2014-02-13,6.13,13.62,122.22
1719.T,2014-05-14,8.83,4.68,-46.99
1719.T,2014-08-08,2.1,4.92,133.95
1719.T,2014-11-13,9.8,18.33,87.14
1719.T,2015-02-10,15.02,18.82,25.33
1719.T,2015-05-13,14.34,-2.9,-120.22
1719.T,2015-08-07,1.0,15.26,1429.06
1719.T,2016-02-08,8.82,25.4,187.95
1719.T,2019-02-07,24.1,15.58,-35.35
1719.T,2021-02-10,18.6,20.59,10.7
1719.T,2021-11-11,20.8,28.07,34.95
1719.T,2022-02-08,22.3,27.76,24.48
1719.T,2023-05-12,37.5,25.88,-30.99
1719.T,2023-11-09,14.8,10.95,-26.01
1719.T,2024-02-08,27.7,18.15,-34.48
1719.T,2026-11-06,,,
1720.T,2011-02-09,17.64,22.05,25.04
1720.T,2011-05-11,20.56,-24.77,-220.5
1720.T,2011-08-09,-0.68,5.91,966.57
1720.T,2011-11-08,8.7,3.93,-54.81
1720.T,2012-02-07,8.63,-1.13,-113.09
1720.T,2012-05-10,7.36,8.15,10.69
1720.T,2012-08-08,-5.11,-14.39,-181.88
1720.T,2012-11-07,2.08,-5.05,-342.79
1720.T,2013-02-07,9.78,10.13,3.63
1720.T,2013-05-10,3.69,4.0,8.43
1720.T,2013-08-08,-2.99,-2.92,2.21
1720.T,2013-11-07,5.75,5.8,0.8
1720.T,2014-02-07,15.55,6.04,-61.16
1720.T,2014-05-09,13.93,16.24,16.62
1720.T,2014-08-07,-1.44,2.02,240.47
1720.T,2014-11-06,11.25,12.33,9.65
1720.T,2015-02-09,13.3,22.53,69.36
1720.T,2015-05-11,16.19,17.52,8.21
1720.T,2015-08-05,2.39,16.96,610.81
1720.T,2016-02-08,10.24,53.04,418.07
1721.T,2014-08-05,21.2,23.86,12.55
1721.T,2015-02-06,43.3,30.61,-29.31
1721.T,2016-02-05,26.8,24.46,-8.73
1721.T,2016-05-10,60.8,72.29,18.9
1721.T,2016-08-05,10.7,10.16,-5.05
1721.T,2016-11-08,31.0,26.47,-14.61
1721.T,2017-02-07,28.8,27.45,-4.69
1721.T,2017-05-09,86.65,65.88,-23.97
1721.T,2017-08-04,11.9,23.93,101.09
1721.T,2017-11-07,38.6,36.46,-5.54
1721.T,2018-02-06,130.8,42.89,-67.21
1721.T,2018-08-03,21.4,24.33,13.69
1721.T,2018-11-06,38.4,38.01,-1.02
1721.T,2019-02-08,44.5,90.66,103.73
1721.T,2024-02-08,47.48,66.34,39.72
1721.T,2024-05-10,65.71,82.99,26.29
1721.T,2024-08-08,35.57,38.36,7.83
1721.T,2024-11-08,63.33,52.74,-16.72
1721.T,2025-02-07,69.94,71.96,2.89
1721.T,2026-11-06,,,
1762.T,2010-11-11,18.61,30.27,62.67
1762.T,2011-02-14,18.45,47.41,156.92
1762.T,2011-05-12,16.38,12.16,-25.74
1762.T,2011-08-10,11.81,13.25,12.22
1762.T,2011-11-09,19.91,25.18,26.46
1762.T,2012-02-13,20.1,30.55,51.97
1762.T,2012-05-15,40.16,45.69,13.77
1762.T,2012-08-08,3.56,2.41,-32.28
1762.T,2012-11-13,7.28,9.21,26.55
1762.T,2013-02-13,20.98,27.26,29.96
1762.T,2013-05-14,34.47,41.55,20.55
1762.T,2013-08-06,5.37,14.56,171.34
1762.T,2013-11-12,76.55,78.34,2.34
1762.T,2014-02-12,38.93,28.34,-27.2
1762.T,2014-05-14,36.31,49.63,36.7
1762.T,2014-08-05,14.77,12.75,-13.65
1762.T,2014-11-12,18.5,21.54,16.46
1762.T,2015-02-12,28.15,46.12,63.82
1762.T,2015-05-13,36.95,95.72,159.05
1762.T,2015-08-11,8.23,16.67,102.63
1762.T,2016-02-10,38.33,45.29,18.17
1762.T,2022-02-09,68.9,70.0,1.6
1766.T,2011-06-10,77.56,165.2,112.99
1766.T,2011-09-06,-51.6,57.23,210.91
1766.T,2011-12-07,45.44,51.65,13.68
1766.T,2012-03-06,59.67,-7.6,-112.74
1766.T,2012-06-12,81.9,130.91,59.85
1766.T,2012-09-06,46.23,44.84,-3.01
1766.T,2012-12-04,20.39,87.12,327.25
1766.T,2013-03-05,92.1,136.41,48.12
1766.T,2013-06-11,130.08,169.11,30.01
1766.T,2013-09-04,33.9,53.1,56.62
1766.T,2014-03-05,53.06,113.69,114.25
1766.T,2014-09-09,77.8,90.66,16.53
1766.T,2014-12-09,25.33,23.06,-8.97
1766.T,2015-03-10,121.95,126.05,3.36
1766.T,2015-09-11,115.45,150.48,30.34
1766.T,2016-03-15,128.42,191.55,49.16
1766.T,2016-12-14,204.1,213.37,4.54
1766.T,2017-03-14,230.4,293.31,27.3
1773.T,2026-12-03,,,
1801.T,2011-05-11,14.17,15.65,10.44
1801.T,2012-05-14,31.65,32.05,1.25
1801.T,2014-05-13,36.5,36.9,1.1
1801.T,2014-08-05,10.6,2.25,-78.78
1801.T,2014-11-11,34.46,52.05,51.06
1801.T,2015-02-10,45.04,72.35,60.64
1801.T,2015-05-11,39.56,40.95,3.52
1801.T,2015-08-06,4.27,66.4,1453.69
1801.T,2015-11-09,47.01,68.5,45.71
1801.T,2016-02-09,67.69,96.95,43.23
1801.T,2016-05-13,55.9,97.4,74.24
1801.T,2016-08-05,59.07,51.75,-12.39
1801.T,2016-11-11,70.81,100.05,41.29
1801.T,2017-02-08,105.04,180.0,71.36
1801.T,2017-05-12,60.08,61.05,1.61
1801.T,2017-08-07,58.68,86.35,47.15
1801.T,2017-11-10,118.51,107.79,-9.04
1801.T,2018-02-08,184.14,163.49,-11.21
1801.T,2018-05-11,174.42,203.73,16.81
1801.T,2018-08-06,73.48,57.95,-21.13
1801.T,2018-11-08,94.73,100.95,6.56
1801.T,2019-02-07,135.07,123.29,-8.72
1801.T,2019-05-10,170.45,228.81,34.24
1801.T,2019-08-05,57.88,98.6,70.35
1801.T,2019-11-08,102.29,110.5,8.03
1801.T,2020-02-07,123.46,112.55,-8.84
1801.T,2022-11-11,79.61,61.29,-23.01
1801.T,2023-02-08,111.79,73.7,-34.07
1801.T,2023-05-12,73.33,74.34,1.38
1801.T,2023-08-07,41.95,-12.1,-128.84
1801.T,2023-11-13,68.67,91.31,32.97
1801.T,2024-02-08,68.91,26.32,-61.81
1801.T,2024-05-13,109.26,110.22,0.88
1801.T,2024-08-09,71.38,126.73,77.56
1801.T,2024-11-07,65.89,117.26,77.96
1801.T,2025-02-07,88.65,213.18,140.47
1801.T,2025-05-13,139.12,225.61,62.18
1801.T,2025-08-08,96.2,173.42,80.27
1801.T,2025-11-11,93.9,204.88,118.19
1801.T,2026-02-06,218.41,237.08,8.55
1801.T,2026-05-14,331.26,410.15,23.82
1801.T,2026-08-06,170.83,189.62,11.0
1801.T,2026-11-10,93.9,,
1802.T,2011-05-13,11.75,12.76,8.59
1802.T,2012-05-11,-1.19,-0.99,16.49
1802.T,2013-05-14,-8.1,-2.57,68.27
1802.T,2014-05-13,9.96,10.82,8.68
1802.T,2014-08-05,4.36,9.46,117.15
1802.T,2014-11-11,7.01,10.28,46.72
1802.T,2015-02-10,11.46,14.09,22.91
1802.T,2015-05-13,5.16,6.13,18.82
1802.T,2015-08-06,10.28,15.29,48.67
1802.T,2015-11-10,15.05,23.55,56.45
1802.T,2016-02-09,18.32,31.73,73.18
1802.T,2016-05-12,15.49,17.79,14.87
1802.T,2016-08-05,16.01,22.22,38.78
1802.T,2016-11-08,28.33,35.7,26.02
1802.T,2017-02-14,34.06,40.39,18.58
1802.T,2017-05-10,31.03,33.35,7.48
1802.T,2017-08-08,22.95,26.44,15.2
1802.T,2017-11-08,35.67,40.97,14.84
1802.T,2018-02-13,37.1,38.14,2.8
1802.T,2018-05-14,29.59,23.54,-20.44
1802.T,2018-08-07,26.74,24.97,-6.63
1802.T,2018-11-12,40.42,43.05,6.5
1802.T,2019-02-14,39.51,42.28,7.0
1802.T,2019-05-13,27.76,47.35,70.58
1802.T,2019-08-07,24.13,31.68,31.32
1802.T,2019-11-11,39.1,47.49,21.46
1802.T,2020-02-12,40.85,48.7,19.21
1802.T,2022-11-07,24.17,37.96,57.05
1802.T,2023-02-06,20.46,25.19,23.12
1802.T,2023-05-11,16.93,29.46,74.01
1802.T,2023-08-07,14.67,9.19,-37.36
1802.T,2023-11-06,18.73,32.29,72.44
1802.T,2024-02-05,14.63,24.76,69.24
1802.T,2024-05-13,16.6,38.45,131.63
1802.T,2024-08-06,19.81,36.05,81.98
1802.T,2024-11-11,22.03,40.8,85.2
1802.T,2025-02-10,23.18,56.42,143.4
1802.T,2025-05-13,71.5,70.61,-1.24
1802.T,2025-08-08,23.71,25.59,7.93
1802.T,2025-11-05,39.78,85.25,114.3
1802.T,2026-02-09,45.84,77.55,69.18
1802.T,2026-05-13,57.35,61.03,6.42
1802.T,2026-08-07,28.74,56.87,97.88
1802.T,2026-11-05,39.78,,
1803.T,2011-05-13,0.83,4.21,407.82
1803.T,2011-08-08,2.17,3.45,59.01
1803.T,2012-02-07,7.37,-2.0,-127.15
1803.T,2012-05-10,-1.98,-1.95,1.59
1803.T,2013-05-14,,1.32,
1803.T,2014-05-13,7.66,7.78,1.55
1803.T,2014-08-07,5.02,6.32,25.84
1803.T,2014-11-10,5.28,8.6,62.86
1803.T,2015-02-10,11.28,15.12,34.1
1803.T,2015-05-13,8.45,12.52,48.12
1803.T,2015-08-06,8.48,14.49,70.91
1803.T,2015-11-09,11.64,16.16,38.82
1803.T,2016-02-09,20.3,24.76,21.96
1803.T,2016-05-11,23.23,20.2,-13.03
1803.T,2016-08-09,17.74,18.58,4.71
1803.T,2016-11-08,19.99,26.0,30.08
1803.T,2017-02-14,33.5,41.39,23.54
1803.T,2017-05-11,32.04,40.04,24.97
1803.T,2017-08-08,19.14,28.53,49.06
1803.T,2017-11-08,24.27,20.23,-16.65
1803.T,2018-02-08,34.0,24.96,-26.58
1803.T,2018-05-10,33.4,34.59,3.58
1803.T,2018-08-09,29.95,19.96,-33.36
1803.T,2018-11-05,24.97,26.64,6.69
1803.T,2019-02-08,30.02,26.69,-11.09
1803.T,2019-05-10,53.15,53.75,1.13
1803.T,2019-07-31,19.48,30.95,58.85
1803.T,2019-11-12,27.29,30.34,11.17
1803.T,2020-01-31,27.34,34.13,24.83
1803.T,2022-11-08,15.34,10.31,-32.79
1803.T,2023-01-31,30.38,13.76,-54.71
1803.T,2023-05-11,38.67,37.27,-3.63
1803.T,2023-07-28,11.58,25.28,118.31
1803.T,2023-11-07,14.16,-3.18,-122.47
1803.T,2024-02-08,15.9,-50.61,-418.4
1803.T,2024-05-13,45.6,52.08,14.22
1803.T,2024-07-30,12.92,3.41,-73.61
1803.T,2024-11-12,19.02,11.79,-38.01
1803.T,2025-01-31,21.69,42.76,97.14
1803.T,2025-05-14,36.94,36.84,-0.27
1803.T,2025-07-29,12.97,16.33,25.95
1803.T,2025-11-07,18.04,51.6,186.03
1803.T,2026-02-05,29.7,51.39,73.06
1803.T,2026-05-12,66.8,67.36,0.84
1803.T,2026-07-30,24.55,81.36,231.41
1803.T,2026-11-06,18.04,,
1808.T,2010-11-11,3.0,15.15,405.0
1808.T,2017-08-09,13.0,45.19,247.62
1808.T,2019-05-10,67.1,81.15,20.94
1808.T,2019-11-08,49.0,59.32,21.06
1808.T,2020-02-07,57.5,40.7,-29.22
1808.T,2020-05-14,63.3,59.23,-6.43
1808.T,2020-08-06,35.2,25.93,-26.34
1808.T,2020-11-12,42.7,45.01,5.41
1808.T,2021-02-10,42.8,37.0,-13.55
1808.T,2021-05-13,62.3,60.83,-2.37
1808.T,2021-08-06,25.4,53.34,110.0
1808.T,2021-11-11,42.0,49.56,18.0
1808.T,2022-02-10,30.7,49.3,60.59
1808.T,2022-05-12,42.6,46.12,8.26
1808.T,2022-08-10,43.85,48.47,10.54
1808.T,2022-11-10,49.93,41.54,-16.81
1808.T,2023-02-09,51.71,44.43,-14.08
1808.T,2023-05-11,73.98,81.66,10.38
1808.T,2023-08-09,53.43,54.99,2.91
1808.T,2023-11-10,44.04,50.25,14.11
1808.T,2024-02-09,35.56,39.92,12.27
1808.T,2024-05-10,63.13,60.29,-4.49
1808.T,2024-08-08,39.94,39.73,-0.52
1808.T,2024-11-12,40.26,31.24,-22.4
1808.T,2025-02-13,38.05,-3.69,-109.7
1808.T,2025-05-14,47.52,58.92,24.0
1808.T,2025-08-07,38.47,46.34,20.47
1808.T,2025-11-12,35.7,42.98,20.4
1808.T,2026-02-12,53.61,52.77,-1.56
1808.T,2026-05-15,85.79,62.45,-27.21
1808.T,2026-08-06,55.13,80.39,45.83
1808.T,2026-11-11,60.2,,
1812.T,2011-05-13,-17.35,-11.72,32.44
1812.T,2012-05-15,0.49,1.12,129.89
1812.T,2014-05-13,-4.52,13.1,390.01
1812.T,2014-08-05,6.99,8.6,23.11
1812.T,2014-11-11,7.45,5.18,-30.51
1812.T,2015-02-10,8.28,31.52,280.54
1812.T,2015-05-12,-18.33,-16.14,11.93
1812.T,2015-08-04,9.63,20.52,113.06
1812.T,2015-11-10,15.41,23.64,53.41
1812.T,2016-02-09,15.48,49.74,221.35
1812.T,2016-05-13,42.17,45.42,7.7
1812.T,2016-08-09,23.51,39.6,68.47
1812.T,2016-11-08,25.96,58.48,125.25
1812.T,2017-02-08,44.2,39.72,-10.13
1812.T,2017-05-12,46.52,64.22,38.05
1812.T,2017-08-07,41.99,65.58,56.17
1812.T,2017-11-14,61.39,58.46,-4.77
1812.T,2018-02-13,39.47,62.0,57.07
1812.T,2018-05-15,26.25,58.24,121.89
1812.T,2018-08-07,47.52,53.04,11.62
1812.T,2018-11-13,43.3,52.03,20.16
1812.T,2019-02-12,51.97,52.93,1.84
1812.T,2019-05-15,47.8,53.67,12.27
1812.T,2019-08-06,51.19,36.6,-28.5
1812.T,2019-11-12,50.85,60.16,18.31
1812.T,2020-02-12,49.79,38.07,-23.53
1812.T,2022-11-10,46.27,71.25,53.99
1812.T,2023-02-14,46.56,55.75,19.74
1812.T,2023-05-15,47.98,61.08,27.3
1812.T,2023-08-09,40.08,40.03,-0.11
1812.T,2023-11-13,67.3,63.69,-5.36
1812.T,2024-02-13,53.62,55.22,2.98
1812.T,2024-05-14,67.1,79.82,18.97
1812.T,2024-08-06,49.89,36.6,-26.63
1812.T,2024-11-12,57.77,37.63,-34.86
1812.T,2025-02-12,68.6,83.43,21.63
1812.T,2025-05-14,96.79,108.83,12.45
1812.T,2025-08-06,52.29,56.46,7.97
1812.T,2025-11-11,63.88,108.83,70.37
1812.T,2026-02-12,73.36,96.29,31.27
1812.T,2026-05-14,103.72,118.23,14.0
1812.T,2026-08-05,84.88,66.57,-21.57
1812.T,2026-11-11,63.88,,
1820.T,2012-11-08,13.6,-37.1,-372.79
1820.T,2013-02-12,9.87,47.15,377.71
1820.T,2013-05-10,35.52,65.25,83.7
1820.T,2013-08-08,5.73,20.7,261.57
1820.T,2013-11-11,5.62,3.55,-36.78
1820.T,2014-02-12,24.48,34.35,40.32
1820.T,2014-05-13,8.3,42.2,408.43
1820.T,2014-08-08,12.89,26.1,102.56
